프로그램 이름,프로그램 설명 및 연계된 파일,제조사
INISAFE Mail,보안메일 암호/복호화 프로그램,Initech
XecureExpress,메일 시스템의 안전한 송수신을 보장하는 세계 최초 PKI기반의 웹 메일 시스템 보안 솔루션 이라고 한다.,(주)한컴시큐어 
JX-Mail Enterprise,금융권 및 통신사에서 고객의 개인정보가 들어있는 메일을 안전하게 보내기 위해 사용되는  대칭키 암호화 보안 모듈로서 중요 HTML 페이지의 암호화를 통해 사용자 정보 유출을 방지할 수 있다고 한다.,소프트이십오
MailDec,"보안메일을 여는 프로그램으로 추측되나, 제조사로 추측되는 네이팅텔(주)가 폐업한 것으로 파악되어 확실하지 않음.",네이팅텔
전자신고 종합소득세,,국세청
Keysharp CertRelay,공인인증서를 스마트폰으로 복사하는 프로그램,라온시큐어
Rexpert30 Viewer,데이터베이스와 연계해 다양한 리포트를 출력하는 프로그램,클립소프트
MagicLine MBX,"인증서 인증, 전자서명, 웹구간 암호화 등을 담당하는 솔루션",드림시큐리티
TouchEn web(Webpage Protector),,한컴시큐어
Aiviewer 5.0,데이터베이스와 연결된 리포팅 툴,솔비텍
markany plugin for multi browser (court_prtchk),,마크애니
Markany inc. e-pagesafer v2.5 court ozweb,,마크애니
Fasoo DRM,기업용 문서보안 솔루션,파수닷컴
휴대폰인증서 보관서비스 ,,유비키
MiPlatform,마이플랫폼(MiPlatform)은 클라이언트/서버 환경의 웹의 클라이언트 환경을 대체할 대표적인 대안인 X-Internet 기반의 제품으로 국내 유일의 유무선 통합 UI 개발/운용 환경이다.,투비소프트
WiseGrid ActiveX,웹에서 사용하고자 개발된 스프레드시트 프로그램,유니포스트
BCQRE_RX 연동모듈 설치프로그램,웹에서 PDF 볼때 연결되어 있는 프로그램으로 추측,BCQRE. Co. Ltd
TouchEn key with E2E for 32bit,키보드 보안 프로그램,라온시큐어
CrossCert Web,공인인증 프로그램,한국전자인증
베라포트 Veraport,통합 액티브엑스 설치 프로그램,위즈베라
XecureWeb,공인인증서를 사용할 수 있도록 기능을 제공하는 프로그램,(주)한컴시큐어
AxSignGate,한국정보인증의 인증 모듈,한국정보인증
SignGate EWS 4.0,,한국정보인증
전자신고 종합소득세 2014,,국세청
IssacWebProCms_LG_UPLUS,LG 유플러스에 제공된 보안 플러그인,펜타시큐리티
nProtect Netizen SVC,사이버 이용 고객 PC 보안 체계 확립 및 해킹에 의한 개인 정보 유출을 원천 차단하는 인터넷 서비스 이용자 전용 온라인 PC 보안 솔루션,엔프로텍트
iniline crosswarp,인터넷 환경에서 각종 보안규정이나 필요에 의하여 필수로 설치해야 하는 프로그램들을 통합 설치해주는 솔루션  ,이니라인
nProtect KeyCrypt, 인터넷 서비스 이용자를 위한 키보드 입력 정보 보안 솔루션,엔프로텍트
nProtect-SecuLog,수집된 전자금융거래 보안 로그를 분석하여 비정상 거래 징후를 탐지하고 추적하는  전자금융 보안관제 솔루션,엔프로텍트
MAGIC-PKI,공인인증서 전자서명용 프로그램 ,드림시큐리티
IPInside,부정접속 차단 및 보안로그 수집 프로그램,인터리젠
REXPERT,보고서 미리보기 및 출력용 프로그램 ,클립소프트
e-Page Safer WebDRM Pack for CrossOS v2.5,온라인 보안뷰어 프로그램 및 증명서 위변조방지 프로그램,마크애니
보이스아이,시각 장애인을 위한 텍스트 기반 음성 전환 바코드 생성 프로그램,(주)보이스아이
Innoex,대용량 파일전송 프로그램,이노릭스
E-Papyrus,대용량 PDF 문서 전용 미리보기 프로그램,이파피루스
MAOnFPS ,PDF 뷰어용 화면캡쳐 방지 프로그램,마크애니
Magic-TSA,PDF파일에 대한 시점 인증용 프로그램,드림시큐리티
NTS-Crypto,전자신고 암호화 및 검증 복호화 프로그램,
Crinity,자료유출 방지 및 메일 필터링 프로그램,크리니티(주)
ezCertForClient,민원24 민원발급 프로그램,"BCQRE Co,. Ltd"
PrintManager,발급모듈 보안 프로그램,"BCQRE Co,. Ltd"
ezPDFReader,민원24 전용뷰어 프로그램,유니독스
BankPayEFT.exe,금융결제원 전자지갑 프로그램,금융결제원
InnoMP,구비서류 업로드 프로그램,이노릭스
TrustVerifier.exe,발급문서 진위확인 프로그램,불명
AOS 키보드 보안프로그램,안랩의 키보드 보안 프로그램,안랩
MaWebSAFER_KERIS,화면캡쳐 방지 프로그램,마크애니
EPKIWCtl,인증서 관련 전자서명통신 프로그램,
MaSecureClient,화면의 복사 배포를 막기위한 프로그램,마크애니
Report Designer 5.0u,제공되는 리포트를 보기위한 프로그램,엠투소프트
유니사인 공인인증서 이동프로그램,유니사인에서 만든 공인인증서 이동 프로그램,유니사인
금결원 공인인증서 스마트폰 이동프로그램,금융결제원에서 만든 공인인증서 스마트폰 이동프로그램,금융결제원
Softcamp Secure Keystroke,키보드 보안 솔루션,소프트캠프
INISafe Sandbox,웹페이지 위변조및 해킹 방지 솔루션,Initech
INISafe Web,Web Browser와 Web Server 사이에서 전송되는 데이터들을 암호화하는 솔루션,Initech
INISafe Sfilter,암호화 통신 솔루션,Initech
인증서 로밍 클라이언트,인증서를 옮기는 프로그램,"BTWorks, Inc."
Ahnlab Mysafety,온라인 환경 보안 프로그램,안랩
전자신고작성 2005,전자신고작성 프로그램 2005년 버전.,국세청
